StartRank,EndRank,PrizeType,PrizeID,TierID,Rewards,Diamonds,TitanPoint,HolidayCurrency,SkillPoint,PerkTicket,EquipmentShards,Pet,Weapon,PremiumWeapon,AnniversaryMinigameCurrency
6,10,Type2,5,K,"Diamonds:200,TitanPoints:30,HolidayCurrency:180,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:50",200,30,180,0,0,30,6,0,0,50
11,25,Type2,5,J,"Diamonds:150,TitanPoints:25,HolidayCurrency:160,EquipmentShards:20,RandomLevelPet:5,AnniversaryMinigameCurrency:40",150,25,160,0,0,20,5,0,0,40
26,50,Type2,5,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:140,EquipmentShards:15,RandomLevelPet:4,AnniversaryMinigameCurrency:30",100,20,140,0,0,15,4,0,0,30
51,75,Type2,5,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:120,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:20",75,15,120,0,0,10,3,0,0,20
76,130,Type2,5,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:100,EquipmentShards:5,RandomLevelPet:2,AnniversaryMinigameCurrency:10",30,10,100,0,0,5,2,0,0,10
0,0,Type2,4,N,"Diamonds:600,TitanPoints:70,HolidayCurrency:300,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:100",600,70,300,0,0,80,10,0,0,100
1,1,Type2,4,M,"Diamonds:400,TitanPoints:50,HolidayCurrency:250,EquipmentShards:55,RandomLevelPet:7,AnniversaryMinigameCurrency:80",400,50,250,0,0,55,7,0,0,80
2,3,Type2,4,M,"Diamonds:300,TitanPoints:35,HolidayCurrency:230,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:70",300,35,230,0,0,40,6,0,0,70
4,10,Type2,4,L,"Diamonds:200,TitanPoints:30,HolidayCurrency:200,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:60",200,30,200,0,0,30,6,0,0,60
11,25,Type2,4,K,"Diamonds:150,TitanPoints:25,HolidayCurrency:180,EquipmentShards:20,RandomLevelPet:5,AnniversaryMinigameCurrency:50",150,25,180,0,0,20,5,0,0,50
26,50,Type2,4,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,EquipmentShards:15,RandomLevelPet:4,AnniversaryMinigameCurrency:40",100,20,160,0,0,15,4,0,0,40
51,80,Type2,4,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:30",75,15,140,0,0,10,3,0,0,30
81,130,Type2,4,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,EquipmentShards:5,RandomLevelPet:2,AnniversaryMinigameCurrency:20",30,10,120,0,0,5,2,0,0,20
131,200,Type2,4,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,EquipmentShards:5,RandomLevelPet:1,AnniversaryMinigameCurrency:10",20,5,100,0,0,5,1,0,0,10
0,0,Type2,3,N,"Diamonds:450,TitanPoints:70,HolidayCurrency:300,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:100",450,70,300,0,0,80,10,0,0,100
1,1,Type2,3,M,"Diamonds:350,TitanPoints:50,HolidayCurrency:250,EquipmentShards:55,RandomLevelPet:7,AnniversaryMinigameCurrency:80",350,50,250,0,0,55,7,0,0,80
2,3,Type2,3,M,"Diamonds:225,TitanPoints:35,HolidayCurrency:230,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:70",225,35,230,0,0,40,6,0,0,70
4,10,Type2,3,L,"Diamonds:175,TitanPoints:30,HolidayCurrency:200,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:60",175,30,200,0,0,30,6,0,0,60
11,25,Type2,3,K,"Diamonds:125,TitanPoints:25,HolidayCurrency:180,EquipmentShards:20,RandomLevelPet:5,AnniversaryMinigameCurrency:50",125,25,180,0,0,20,5,0,0,50
26,50,Type2,3,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,EquipmentShards:15,RandomLevelPet:4,AnniversaryMinigameCurrency:40",100,20,160,0,0,15,4,0,0,40
51,80,Type2,3,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:30",75,15,140,0,0,10,3,0,0,30
81,130,Type2,3,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,EquipmentShards:5,RandomLevelPet:2,AnniversaryMinigameCurrency:20",30,10,120,0,0,5,2,0,0,20
131,200,Type2,3,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,EquipmentShards:5,RandomLevelPet:1,AnniversaryMinigameCurrency:10",20,5,100,0,0,5,1,0,0,10
0,0,Type2,2,N,"Diamonds:400,TitanPoints:70,HolidayCurrency:300,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:100",400,70,300,0,0,80,10,0,0,100
1,1,Type2,2,M,"Diamonds:300,TitanPoints:50,HolidayCurrency:250,EquipmentShards:55,RandomLevelPet:7,AnniversaryMinigameCurrency:80",300,50,250,0,0,55,7,0,0,80
2,3,Type2,2,M,"Diamonds:200,TitanPoints:35,HolidayCurrency:230,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:70",200,35,230,0,0,40,6,0,0,70
4,10,Type2,2,L,"Diamonds:150,TitanPoints:30,HolidayCurrency:200,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:60",150,30,200,0,0,30,6,0,0,60
11,25,Type2,2,K,"Diamonds:100,TitanPoints:25,HolidayCurrency:180,EquipmentShards:20,RandomLevelPet:5,AnniversaryMinigameCurrency:50",100,25,180,0,0,20,5,0,0,50
26,50,Type2,2,J,"Diamonds:75,TitanPoints:20,HolidayCurrency:160,EquipmentShards:15,RandomLevelPet:4,AnniversaryMinigameCurrency:40",75,20,160,0,0,15,4,0,0,40
51,80,Type2,2,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:140,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:30",50,15,140,0,0,10,3,0,0,30
81,130,Type2,2,H,"Diamonds:25,TitanPoints:10,HolidayCurrency:120,EquipmentShards:5,RandomLevelPet:2,AnniversaryMinigameCurrency:20",25,10,120,0,0,5,2,0,0,20
131,200,Type2,2,H,"Diamonds:15,TitanPoints:5,HolidayCurrency:100,EquipmentShards:5,RandomLevelPet:1,AnniversaryMinigameCurrency:10",15,5,100,0,0,5,1,0,0,10
0,0,Type2,1,N,"Diamonds:300,TitanPoints:70,HolidayCurrency:300,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:100",300,70,300,0,0,80,10,0,0,100
1,1,Type2,1,M,"Diamonds:250,TitanPoints:50,HolidayCurrency:250,EquipmentShards:55,RandomLevelPet:7,AnniversaryMinigameCurrency:80",250,50,250,0,0,55,7,0,0,80
2,3,Type2,1,M,"Diamonds:150,TitanPoints:35,HolidayCurrency:230,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:70",150,35,230,0,0,40,6,0,0,70
4,10,Type2,1,L,"Diamonds:100,TitanPoints:30,HolidayCurrency:200,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:60",100,30,200,0,0,30,6,0,0,60
11,25,Type2,1,K,"Diamonds:75,TitanPoints:25,HolidayCurrency:180,EquipmentShards:20,RandomLevelPet:5,AnniversaryMinigameCurrency:50",75,25,180,0,0,20,5,0,0,50
26,50,Type2,1,J,"Diamonds:50,TitanPoints:20,HolidayCurrency:160,EquipmentShards:15,RandomLevelPet:4,AnniversaryMinigameCurrency:40",50,20,160,0,0,15,4,0,0,40
51,80,Type2,1,I,"Diamonds:30,TitanPoints:15,HolidayCurrency:140,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:30",30,15,140,0,0,10,3,0,0,30
81,130,Type2,1,H,"Diamonds:20,TitanPoints:10,HolidayCurrency:120,EquipmentShards:5,RandomLevelPet:2,AnniversaryMinigameCurrency:20",20,10,120,0,0,5,2,0,0,20
131,200,Type2,1,H,"Diamonds:10,TitanPoints:5,HolidayCurrency:100,EquipmentShards:5,RandomLevelPet:1,AnniversaryMinigameCurrency:10",10,5,100,0,0,5,1,0,0,10
0,10,Type3,11,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,HelperWeapon:36,FortuneHelperWeapon:28,AnniversaryMinigameCurrency:100",1200,300,300,0,0,0,0,36,28,100
0,0,Type3,10,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,HelperWeapon:36,FortuneHelperWeapon:28,AnniversaryMinigameCurrency:100",1200,300,300,0,0,0,0,36,28,100
1,1,Type3,10,M,"Diamonds:700,TitanPoints:200,HolidayCurrency:250,HelperWeapon:24,FortuneHelperWeapon:20,AnniversaryMinigameCurrency:80",700,200,250,0,0,0,0,24,20,80
2,2,Type3,10,L,"Diamonds:550,TitanPoints:150,HolidayCurrency:230,HelperWeapon:20,FortuneHelperWeapon:16,AnniversaryMinigameCurrency:70",550,150,230,0,0,0,0,20,16,70
3,3,Type3,10,K,"Diamonds:450,TitanPoints:125,HolidayCurrency:200,HelperWeapon:18,FortuneHelperWeapon:14,AnniversaryMinigameCurrency:60",450,125,200,0,0,0,0,18,14,60
4,4,Type3,10,J,"Diamonds:400,TitanPoints:100,HolidayCurrency:180,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:50",400,100,180,0,0,0,0,16,12,50
5,5,Type3,10,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:160,HelperWeapon:14,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:40",350,80,160,0,0,0,0,14,10,40
6,6,Type3,10,J,"Diamonds:300,TitanPoints:70,HolidayCurrency:140,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:30",300,70,140,0,0,0,0,12,8,30
7,8,Type3,10,J,"Diamonds:250,TitanPoints:60,HolidayCurrency:120,HelperWeapon:10,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:20",250,60,120,0,0,0,0,10,8,20
9,10,Type3,10,I,"Diamonds:200,TitanPoints:50,HolidayCurrency:100,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:10",200,50,100,0,0,0,0,8,6,10
0,0,Type3,9,N,"Diamonds:1200,TitanPoints:250,HolidayCurrency:300,HelperWeapon:32,FortuneHelperWeapon:24,AnniversaryMinigameCurrency:100",1200,250,300,0,0,0,0,32,24,100
1,1,Type3,9,M,"Diamonds:650,TitanPoints:150,HolidayCurrency:250,HelperWeapon:24,FortuneHelperWeapon:16,AnniversaryMinigameCurrency:80",650,150,250,0,0,0,0,24,16,80
2,2,Type3,9,L,"Diamonds:500,TitanPoints:125,HolidayCurrency:230,HelperWeapon:20,FortuneHelperWeapon:14,AnniversaryMinigameCurrency:70",500,125,230,0,0,0,0,20,14,70
3,3,Type3,9,K,"Diamonds:400,TitanPoints:100,HolidayCurrency:200,HelperWeapon:18,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:60",400,100,200,0,0,0,0,18,12,60
4,4,Type3,9,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:180,HelperWeapon:16,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:50",350,80,180,0,0,0,0,16,10,50
5,6,Type3,9,J,"Diamonds:300,TitanPoints:60,HolidayCurrency:160,HelperWeapon:14,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:40",300,60,160,0,0,0,0,14,8,40
7,10,Type3,9,J,"Diamonds:250,TitanPoints:50,HolidayCurrency:140,HelperWeapon:12,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:30",250,50,140,0,0,0,0,12,6,30
11,15,Type3,9,I,"Diamonds:200,TitanPoints:40,HolidayCurrency:120,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:20",200,40,120,0,0,0,0,10,6,20
16,25,Type3,9,I,"Diamonds:150,TitanPoints:35,HolidayCurrency:100,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:10",150,35,100,0,0,0,0,8,4,10
0,0,Type3,8,N,"Diamonds:1200,TitanPoints:200,HolidayCurrency:300,HelperWeapon:28,FortuneHelperWeapon:20,AnniversaryMinigameCurrency:100",1200,200,300,0,0,0,0,28,20,100
1,1,Type3,8,M,"Diamonds:650,TitanPoints:125,HolidayCurrency:250,HelperWeapon:20,FortuneHelperWeapon:16,AnniversaryMinigameCurrency:80",650,125,250,0,0,0,0,20,16,80
2,2,Type3,8,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,HelperWeapon:18,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:70",500,100,230,0,0,0,0,18,12,70
3,4,Type3,8,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,HelperWeapon:16,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:60",350,70,200,0,0,0,0,16,10,60
5,7,Type3,8,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,HelperWeapon:14,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:50",300,50,180,0,0,0,0,14,8,50
8,10,Type3,8,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,HelperWeapon:12,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:40",250,40,160,0,0,0,0,12,6,40
11,20,Type3,8,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:30",200,35,140,0,0,0,0,10,6,30
21,30,Type3,8,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:20",150,30,120,0,0,0,0,8,4,20
31,50,Type3,8,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:10",100,25,100,0,0,0,0,6,4,10
0,0,Type3,7,N,"Diamonds:1000,TitanPoints:200,HolidayCurrency:300,HelperWeapon:28,FortuneHelperWeapon:16,AnniversaryMinigameCurrency:100",1000,200,300,0,0,0,0,28,16,100
1,1,Type3,7,M,"Diamonds:600,TitanPoints:125,HolidayCurrency:250,HelperWeapon:20,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:80",600,125,250,0,0,0,0,20,12,80
2,2,Type3,7,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,HelperWeapon:16,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:70",500,100,230,0,0,0,0,16,10,70
3,4,Type3,7,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,HelperWeapon:14,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:60",350,70,200,0,0,0,0,14,8,60
5,7,Type3,7,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,HelperWeapon:12,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:50",300,50,180,0,0,0,0,12,6,50
8,10,Type3,7,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:40",250,40,160,0,0,0,0,10,6,40
11,20,Type3,7,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",200,35,140,0,0,0,0,8,4,30
21,30,Type3,7,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:20",150,30,120,0,0,0,0,6,4,20
31,50,Type3,7,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:10",100,25,100,0,0,0,0,6,4,10
0,0,Type3,6,N,"Diamonds:900,TitanPoints:150,HolidayCurrency:300,HelperWeapon:20,FortuneHelperWeapon:16,AnniversaryMinigameCurrency:100",900,150,300,0,0,0,0,20,16,100
1,1,Type3,6,M,"Diamonds:600,TitanPoints:100,HolidayCurrency:250,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:80",600,100,250,0,0,0,0,16,12,80
2,2,Type3,6,L,"Diamonds:450,TitanPoints:75,HolidayCurrency:230,HelperWeapon:14,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:70",450,75,230,0,0,0,0,14,10,70
3,5,Type3,6,K,"Diamonds:300,TitanPoints:50,HolidayCurrency:200,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:60",300,50,200,0,0,0,0,12,8,60
6,10,Type3,6,J,"Diamonds:200,TitanPoints:40,HolidayCurrency:180,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:50",200,40,180,0,0,0,0,10,6,50
11,20,Type3,6,J,"Diamonds:150,TitanPoints:30,HolidayCurrency:160,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",150,30,160,0,0,0,0,8,4,40
21,40,Type3,6,J,"Diamonds:125,TitanPoints:25,HolidayCurrency:140,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",125,25,140,0,0,0,0,6,4,30
41,60,Type3,6,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:120,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:20",100,20,120,0,0,0,0,6,4,20
61,100,Type3,6,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:100,HelperWeapon:4,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:10",50,15,100,0,0,0,0,4,2,10
0,0,Type3,5,N,"Diamonds:700,TitanPoints:100,HolidayCurrency:300,HelperWeapon:20,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:100",700,100,300,0,0,0,0,20,12,100
1,1,Type3,5,M,"Diamonds:450,TitanPoints:70,HolidayCurrency:250,HelperWeapon:14,FortuneHelperWeapon:10,AnniversaryMinigameCurrency:80",450,70,250,0,0,0,0,14,10,80
2,2,Type3,5,L,"Diamonds:350,TitanPoints:50,HolidayCurrency:230,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:70",350,50,230,0,0,0,0,12,8,70
3,5,Type3,5,K,"Diamonds:250,TitanPoints:35,HolidayCurrency:200,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:60",250,35,200,0,0,0,0,10,6,60
6,10,Type3,5,K,"Diamonds:200,TitanPoints:30,HolidayCurrency:180,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:50",200,30,180,0,0,0,0,8,6,50
11,25,Type3,5,J,"Diamonds:150,TitanPoints:25,HolidayCurrency:160,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",150,25,160,0,0,0,0,8,4,40
26,50,Type3,5,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:140,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",100,20,140,0,0,0,0,6,4,30
51,75,Type3,5,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:120,HelperWeapon:4,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:20",75,15,120,0,0,0,0,4,4,20
76,130,Type3,5,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:100,HelperWeapon:2,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:10",30,10,100,0,0,0,0,2,2,10
0,0,Type3,4,N,"Diamonds:600,TitanPoints:70,HolidayCurrency:300,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:100",600,70,300,0,0,0,0,16,12,100
1,1,Type3,4,M,"Diamonds:400,TitanPoints:50,HolidayCurrency:250,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:80",400,50,250,0,0,0,0,12,8,80
2,3,Type3,4,M,"Diamonds:300,TitanPoints:35,HolidayCurrency:230,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:70",300,35,230,0,0,0,0,10,6,70
4,10,Type3,4,L,"Diamonds:200,TitanPoints:30,HolidayCurrency:200,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:60",200,30,200,0,0,0,0,8,6,60
11,25,Type3,4,K,"Diamonds:150,TitanPoints:25,HolidayCurrency:180,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:50",150,25,180,0,0,0,0,8,4,50
26,50,Type3,4,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",100,20,160,0,0,0,0,6,4,40
51,80,Type3,4,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,HelperWeapon:4,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",75,15,140,0,0,0,0,4,4,30
81,130,Type3,4,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,HelperWeapon:2,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:20",30,10,120,0,0,0,0,2,2,20
131,200,Type3,4,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,HelperWeapon:2,FortuneHelperWeapon:0,AnniversaryMinigameCurrency:10",20,5,100,0,0,0,0,2,0,10
0,0,Type3,3,N,"Diamonds:450,TitanPoints:70,HolidayCurrency:300,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:100",450,70,300,0,0,0,0,16,12,100
1,1,Type3,3,M,"Diamonds:350,TitanPoints:50,HolidayCurrency:250,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:80",350,50,250,0,0,0,0,12,8,80
2,3,Type3,3,M,"Diamonds:225,TitanPoints:35,HolidayCurrency:230,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:70",225,35,230,0,0,0,0,10,6,70
4,10,Type3,3,L,"Diamonds:175,TitanPoints:30,HolidayCurrency:200,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:60",175,30,200,0,0,0,0,8,6,60
11,25,Type3,3,K,"Diamonds:125,TitanPoints:25,HolidayCurrency:180,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:50",125,25,180,0,0,0,0,8,4,50
26,50,Type3,3,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",100,20,160,0,0,0,0,6,4,40
51,80,Type3,3,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,HelperWeapon:4,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",75,15,140,0,0,0,0,4,4,30
81,130,Type3,3,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,HelperWeapon:2,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:20",30,10,120,0,0,0,0,2,2,20
131,200,Type3,3,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,HelperWeapon:2,FortuneHelperWeapon:0,AnniversaryMinigameCurrency:10",20,5,100,0,0,0,0,2,0,10
0,0,Type3,2,N,"Diamonds:400,TitanPoints:70,HolidayCurrency:300,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:100",400,70,300,0,0,0,0,16,12,100
1,1,Type3,2,M,"Diamonds:300,TitanPoints:50,HolidayCurrency:250,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:80",300,50,250,0,0,0,0,12,8,80
2,3,Type3,2,M,"Diamonds:200,TitanPoints:35,HolidayCurrency:230,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:70",200,35,230,0,0,0,0,10,6,70
4,10,Type3,2,L,"Diamonds:150,TitanPoints:30,HolidayCurrency:200,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:60",150,30,200,0,0,0,0,8,6,60
11,25,Type3,2,K,"Diamonds:100,TitanPoints:25,HolidayCurrency:180,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:50",100,25,180,0,0,0,0,8,4,50
26,50,Type3,2,J,"Diamonds:75,TitanPoints:20,HolidayCurrency:160,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",75,20,160,0,0,0,0,6,4,40
51,80,Type3,2,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:140,HelperWeapon:4,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",50,15,140,0,0,0,0,4,4,30
81,130,Type3,2,H,"Diamonds:25,TitanPoints:10,HolidayCurrency:120,HelperWeapon:2,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:20",25,10,120,0,0,0,0,2,2,20
131,200,Type3,2,H,"Diamonds:15,TitanPoints:5,HolidayCurrency:100,HelperWeapon:2,FortuneHelperWeapon:0,AnniversaryMinigameCurrency:10",15,5,100,0,0,0,0,2,0,10
0,0,Type3,1,N,"Diamonds:300,TitanPoints:70,HolidayCurrency:300,HelperWeapon:16,FortuneHelperWeapon:12,AnniversaryMinigameCurrency:100",300,70,300,0,0,0,0,16,12,100
1,1,Type3,1,M,"Diamonds:250,TitanPoints:50,HolidayCurrency:250,HelperWeapon:12,FortuneHelperWeapon:8,AnniversaryMinigameCurrency:80",250,50,250,0,0,0,0,12,8,80
2,3,Type3,1,M,"Diamonds:150,TitanPoints:35,HolidayCurrency:230,HelperWeapon:10,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:70",150,35,230,0,0,0,0,10,6,70
4,10,Type3,1,L,"Diamonds:100,TitanPoints:30,HolidayCurrency:200,HelperWeapon:8,FortuneHelperWeapon:6,AnniversaryMinigameCurrency:60",100,30,200,0,0,0,0,8,6,60
11,25,Type3,1,K,"Diamonds:75,TitanPoints:25,HolidayCurrency:180,HelperWeapon:8,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:50",75,25,180,0,0,0,0,8,4,50
26,50,Type3,1,J,"Diamonds:50,TitanPoints:20,HolidayCurrency:160,HelperWeapon:6,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:40",50,20,160,0,0,0,0,6,4,40
51,80,Type3,1,I,"Diamonds:30,TitanPoints:15,HolidayCurrency:140,HelperWeapon:4,FortuneHelperWeapon:4,AnniversaryMinigameCurrency:30",30,15,140,0,0,0,0,4,4,30
81,130,Type3,1,H,"Diamonds:20,TitanPoints:10,HolidayCurrency:120,HelperWeapon:2,FortuneHelperWeapon:2,AnniversaryMinigameCurrency:20",20,10,120,0,0,0,0,2,2,20
131,200,Type3,1,H,"Diamonds:10,TitanPoints:5,HolidayCurrency:100,HelperWeapon:2,FortuneHelperWeapon:0,AnniversaryMinigameCurrency:10",10,5,100,0,0,0,0,2,0,10
