RewardID,TotalPointsRequired,RewardString,StringBuilder,AllCurrencies
28,174,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
29,180,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
30,186,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
31,192,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
32,198,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
33,204,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
34,210,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
35,216,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
36,222,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
37,228,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
38,234,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
39,240,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
40,246,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
