Level,Rarity0,Rarity1,Rarity2,Rarity3,Rarity4,Note,Rarity0_Chance,Rarity1_Chance,Rarity2_Chance,Rarity3_Chance,Rarity4_Chance,RESEARCHSHARD_EV,cost per
293,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
294,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
295,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
296,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
297,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
298,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
299,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
300,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
301,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
302,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
303,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
304,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
305,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
306,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
307,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
308,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
309,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
310,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
311,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
312,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
313,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
314,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
315,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
316,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
317,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
318,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
319,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
320,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
321,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
322,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
323,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
324,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
325,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
326,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
327,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
328,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
329,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
330,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
331,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
332,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
333,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
334,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
335,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
336,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
337,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
338,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
339,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
340,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
341,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
342,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
343,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
344,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
345,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
346,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
347,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
348,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
349,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
350,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
351,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
352,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
353,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
354,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
355,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
356,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
357,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
358,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
359,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
360,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
361,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
362,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
363,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
364,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
365,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
366,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
367,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
368,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
369,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
370,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
371,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
372,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
373,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
374,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
375,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
376,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
377,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
378,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
379,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
380,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
381,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
382,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
383,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
384,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
385,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
386,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
387,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
388,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
389,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
390,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
391,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
392,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
393,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
394,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
395,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
396,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
397,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
398,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
399,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
400,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
401,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
402,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
403,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
404,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
405,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
406,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
407,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
408,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
409,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
410,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
411,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
412,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
413,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
414,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
415,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
416,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
417,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
418,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
419,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
420,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
421,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
422,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
423,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
424,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
425,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
426,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
427,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
428,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
429,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
430,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
431,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
432,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
433,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
434,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
435,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
436,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
437,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
438,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
439,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
440,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
441,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
442,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
443,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
444,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
445,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
446,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
447,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
448,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
449,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
450,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
451,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
452,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
453,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
454,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
455,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
456,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
457,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
458,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
459,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
460,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
461,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
462,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
463,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
464,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
465,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
466,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
467,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
468,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
469,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
470,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
471,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
472,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
473,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
474,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
475,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
476,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
477,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
478,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
479,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
480,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
481,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
482,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
483,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
484,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
485,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
486,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
487,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
488,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
489,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
490,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
491,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
492,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
493,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
494,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
495,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
496,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
497,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
498,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
499,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
500,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
501,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
502,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
503,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
504,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
505,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
506,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
507,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
508,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
509,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
510,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
511,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
512,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
513,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
514,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
515,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
516,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
517,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
518,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
519,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
520,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
521,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
522,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
523,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
524,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
525,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
526,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
527,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
528,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
529,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
530,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
531,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
532,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
533,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
534,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
535,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
536,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
537,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
538,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
539,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
540,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
541,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
542,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
543,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
544,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
545,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
546,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
547,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
548,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
549,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
550,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
551,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
552,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
553,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
554,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
555,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
556,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
557,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
558,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
559,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
560,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
561,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
562,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
563,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
564,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
565,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
566,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
567,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
568,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
569,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
570,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
571,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
572,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
573,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
574,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
575,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
576,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
577,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
578,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
579,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
580,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
581,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
582,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
583,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
584,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
585,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
586,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
587,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
